Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
328,0.15361,6.51,4,0.51,0.38
329,0.15157,6.6,4,0.55,0.46
330,0.14698,6.8,4,0.45,0.38
331,0.14722,6.79,2,0.41,0.41
332,0.14788,6.76,2,0.35,0.32
333,0.15291,6.54,1,0.34,0.34
334,0.14679,6.81,2,0.41,0.38
335,0.14654,6.82,0,0.0,0.0
336,0.15888,6.29,3,0.39,0.37
337,0.15753,6.35,3,0.39,0.36
338,0.15177,6.59,2,0.46,0.38
339,0.15328,6.52,2,0.45,0.38
340,0.15052,6.64,1,0.35,0.35
341,0.17865,5.6,3,0.42,0.38
342,0.15396,6.5,1,0.3,0.3
343,0.14846,6.74,0,0.0,0.0
344,0.1525,6.56,0,0.0,0.0
345,0.1483,6.74,0,0.0,0.0
346,0.15434,6.48,0,0.0,0.0
347,0.15016,6.66,1,0.38,0.38
348,0.15446,6.47,0,0.0,0.0
349,0.144,6.94,0,0.0,0.0
350,0.1522,6.57,0,0.0,0.0
351,0.14379,6.95,0,0.0,0.0
352,0.15102,6.62,0,0.0,0.0
353,0.15164,6.59,1,0.34,0.34
354,0.14672,6.82,0,0.0,0.0
355,0.14579,6.86,0,0.0,0.0
356,0.14572,6.86,0,0.0,0.0
357,0.14871,6.72,0,0.0,0.0
358,0.14653,6.82,0,0.0,0.0
359,0.1465,6.83,0,0.0,0.0
360,0.15133,6.61,0,0.0,0.0
361,0.14712,6.8,0,0.0,0.0
362,0.14907,6.71,0,0.0,0.0
363,0.14636,6.83,0,0.0,0.0
364,0.15082,6.63,0,0.0,0.0
365,0.15426,6.48,0,0.0,0.0
366,0.15461,6.47,0,0.0,0.0
367,0.14996,6.67,0,0.0,0.0
368,0.14864,6.73,0,0.0,0.0
369,0.15424,6.48,0,0.0,0.0
370,0.1579,6.33,0,0.0,0.0
371,0.14829,6.74,0,0.0,0.0
372,0.1522,6.57,0,0.0,0.0
373,0.14701,6.8,0,0.0,0.0
374,0.14989,6.67,0,0.0,0.0
375,0.14764,6.77,0,0.0,0.0
376,0.1484,6.74,0,0.0,0.0
377,0.1519,6.58,0,0.0,0.0
378,0.15425,6.48,0,0.0,0.0
379,0.1467,6.82,0,0.0,0.0
380,0.14688,6.81,0,0.0,0.0
381,0.14842,6.74,0,0.0,0.0
382,0.14639,6.83,0,0.0,0.0
383,0.15002,6.67,0,0.0,0.0
384,0.14765,6.77,0,0.0,0.0
385,0.14922,6.7,0,0.0,0.0
386,0.1502,6.66,0,0.0,0.0
387,0.1494,6.69,0,0.0,0.0
388,0.15602,6.41,0,0.0,0.0
389,0.1518,6.59,0,0.0,0.0
390,0.15536,6.44,0,0.0,0.0
391,0.1474,6.78,0,0.0,0.0
392,0.14697,6.8,0,0.0,0.0
393,0.14661,6.82,0,0.0,0.0
394,0.15744,6.35,0,0.0,0.0
395,0.14507,6.89,0,0.0,0.0
396,0.14709,6.8,0,0.0,0.0
397,0.15562,6.43,0,0.0,0.0
398,0.15259,6.55,0,0.0,0.0
399,0.14998,6.67,0,0.0,0.0
400,0.14628,6.84,0,0.0,0.0
401,0.1506,6.64,0,0.0,0.0
402,0.14848,6.74,0,0.0,0.0
403,0.14546,6.87,0,0.0,0.0
404,0.15418,6.49,0,0.0,0.0
405,0.16947,5.9,0,0.0,0.0
406,0.15629,6.4,0,0.0,0.0
407,0.1546,6.47,0,0.0,0.0
408,0.14823,6.75,0,0.0,0.0
409,0.14712,6.8,0,0.0,0.0
410,0.15234,6.56,0,0.0,0.0
411,0.14503,6.9,0,0.0,0.0
412,0.14674,6.81,0,0.0,0.0
413,0.15273,6.55,0,0.0,0.0
414,0.14803,6.76,0,0.0,0.0
415,0.14569,6.86,0,0.0,0.0
416,0.14717,6.79,0,0.0,0.0
417,0.14676,6.81,0,0.0,0.0
418,0.14846,6.74,0,0.0,0.0
419,0.15007,6.66,0,0.0,0.0
420,0.14933,6.7,0,0.0,0.0
421,0.14529,6.88,0,0.0,0.0
422,0.1561,6.41,0,0.0,0.0
423,0.15025,6.66,0,0.0,0.0
424,0.15001,6.67,0,0.0,0.0
425,0.14638,6.83,0,0.0,0.0
426,0.14921,6.7,0,0.0,0.0
427,0.14643,6.83,0,0.0,0.0
428,0.15879,6.3,0,0.0,0.0
429,0.14685,6.81,0,0.0,0.0
430,0.14821,6.75,0,0.0,0.0
431,0.14837,6.74,0,0.0,0.0
432,0.14544,6.88,0,0.0,0.0
433,0.14616,6.84,0,0.0,0.0
434,0.14534,6.88,0,0.0,0.0
