Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
197,0.0877,11.4,8,0.73,0.52
198,0.09351,10.69,7,0.69,0.54
199,0.08948,11.18,7,0.62,0.51
200,0.08829,11.33,8,0.72,0.56
201,0.09182,10.89,7,0.73,0.59
202,0.09087,11.0,8,0.71,0.53
203,0.0889,11.25,7,0.68,0.5
204,0.09097,10.99,7,0.59,0.45
205,0.0912,10.97,7,0.63,0.49
206,0.09253,10.81,7,0.58,0.49
207,0.08754,11.42,8,0.67,0.45
208,0.09003,11.11,9,0.7,0.51
209,0.0897,11.15,9,0.67,0.52
210,0.08928,11.2,9,0.74,0.52
211,0.08907,11.23,8,0.73,0.53
212,0.09198,10.87,6,0.41,0.37
213,0.09253,10.81,6,0.44,0.38
214,0.08906,11.23,6,0.56,0.47
215,0.09048,11.05,7,0.54,0.43
216,0.08902,11.23,8,0.73,0.5
217,0.0891,11.22,7,0.7,0.5
218,0.08905,11.23,6,0.52,0.36
219,0.0888,11.26,7,0.48,0.34
220,0.08907,11.23,7,0.47,0.36
221,0.08919,11.21,4,0.45,0.39
222,0.09721,10.29,6,0.54,0.42
223,0.09505,10.52,5,0.45,0.37
224,0.09365,10.68,6,0.56,0.48
225,0.09405,10.63,7,0.56,0.44
226,0.08786,11.38,6,0.52,0.41
227,0.09856,10.15,0,0.0,0.0
228,0.09732,10.28,2,0.41,0.37
229,0.09485,10.54,4,0.36,0.34
230,0.09298,10.76,5,0.44,0.34
231,0.09583,10.44,5,0.36,0.33
232,0.09641,10.37,5,0.42,0.39
233,0.09012,11.1,6,0.46,0.4
234,0.09503,10.52,7,0.5,0.42
235,0.09186,10.89,6,0.48,0.39
236,0.09121,10.96,2,0.39,0.35
237,0.09462,10.57,6,0.37,0.34
238,0.08943,11.18,5,0.42,0.36
239,0.09095,11.0,5,0.44,0.36
240,0.09041,11.06,5,0.43,0.4
241,0.09259,10.8,6,0.48,0.44
242,0.10026,9.97,6,0.45,0.39
243,0.09993,10.01,3,0.38,0.35
244,0.09422,10.61,3,0.36,0.33
245,0.08919,11.21,2,0.34,0.33
246,0.0924,10.82,5,0.43,0.39
247,0.0891,11.22,4,0.45,0.4
248,0.09618,10.4,6,0.47,0.4
249,0.08888,11.25,4,0.39,0.35
250,0.08898,11.24,5,0.51,0.41
251,0.09326,10.72,4,0.42,0.39
252,0.08873,11.27,3,0.45,0.38
253,0.08958,11.16,4,0.44,0.36
254,0.0885,11.3,3,0.49,0.44
255,0.09647,10.37,3,0.54,0.48
256,0.09208,10.86,6,0.59,0.47
257,0.09136,10.95,6,0.49,0.36
258,0.0909,11.0,5,0.45,0.38
259,0.09336,10.71,5,0.42,0.35
260,0.09111,10.98,3,0.44,0.37
261,0.09463,10.57,2,0.38,0.36
262,0.08979,11.14,5,0.46,0.4
263,0.09121,10.96,5,0.54,0.43
264,0.09147,10.93,3,0.42,0.38
265,0.09517,10.51,3,0.39,0.37
266,0.10452,9.57,5,0.42,0.35
267,0.09911,10.09,2,0.44,0.38
268,0.09052,11.05,5,0.42,0.35
269,0.09008,11.1,3,0.36,0.34
270,0.09027,11.08,3,0.39,0.38
271,0.09186,10.89,5,0.55,0.44
272,0.09039,11.06,3,0.4,0.36
273,0.08879,11.26,2,0.36,0.33
274,0.0956,10.46,4,0.41,0.36
275,0.0889,11.25,1,0.34,0.34
276,0.08922,11.21,0,0.0,0.0
277,0.0967,10.34,5,0.46,0.38
278,0.09045,11.06,6,0.41,0.36
279,0.08843,11.31,5,0.43,0.37
280,0.08903,11.23,2,0.37,0.34
281,0.09458,10.57,3,0.4,0.38
282,0.091,10.99,2,0.31,0.31
283,0.08986,11.13,2,0.34,0.32
284,0.08895,11.24,2,0.31,0.31
285,0.09191,10.88,2,0.37,0.36
286,0.09211,10.86,3,0.42,0.38
287,0.09413,10.62,2,0.4,0.35
288,0.09032,11.07,2,0.36,0.34
289,0.09439,10.59,2,0.32,0.32
290,0.0914,10.94,0,0.0,0.0
291,0.08966,11.15,1,0.3,0.3
292,0.08898,11.24,1,0.31,0.31
293,0.09282,10.77,3,0.33,0.32
294,0.09222,10.84,1,0.33,0.33
295,0.08968,11.15,3,0.41,0.39
296,0.08996,11.12,2,0.39,0.37
297,0.08926,11.2,1,0.33,0.33
298,0.0927,10.79,1,0.31,0.31
299,0.08817,11.34,1,0.35,0.35
300,0.08966,11.15,1,0.41,0.41
301,0.08845,11.31,4,0.39,0.35
302,0.08924,11.21,2,0.43,0.42
303,0.09003,11.11,3,0.47,0.38
304,0.09256,10.8,1,0.48,0.48
305,0.08904,11.23,1,0.34,0.34
306,0.0926,10.8,2,0.39,0.35
307,0.08902,11.23,1,0.31,0.31
308,0.09641,10.37,0,0.0,0.0
309,0.09116,10.97,2,0.33,0.33
310,0.09512,10.51,2,0.42,0.4
311,0.09009,11.1,2,0.57,0.45
312,0.09036,11.07,3,0.56,0.42
313,0.10061,9.94,3,0.39,0.36
314,0.0999,10.01,3,0.36,0.33
315,0.09243,10.82,1,0.31,0.31
316,0.08895,11.24,1,0.33,0.33
317,0.09123,10.96,0,0.0,0.0
318,0.09218,10.85,1,0.36,0.36
319,0.08955,11.17,2,0.4,0.35
320,0.09034,11.07,2,0.41,0.38
321,0.09375,10.67,3,0.36,0.33
322,0.08948,11.18,0,0.0,0.0
323,0.08817,11.34,0,0.0,0.0
324,0.08914,11.22,0,0.0,0.0
325,0.09219,10.85,0,0.0,0.0
326,0.08888,11.25,0,0.0,0.0
327,0.09257,10.8,0,0.0,0.0
328,0.0887,11.27,1,0.38,0.38
329,0.08993,11.12,2,0.31,0.31
330,0.09033,11.07,0,0.0,0.0
331,0.08895,11.24,0,0.0,0.0
332,0.08975,11.14,0,0.0,0.0
333,0.09562,10.46,0,0.0,0.0
334,0.09534,10.49,0,0.0,0.0
335,0.0949,10.54,0,0.0,0.0
336,0.09619,10.4,0,0.0,0.0
337,0.09536,10.49,0,0.0,0.0
338,0.08953,11.17,0,0.0,0.0
339,0.08956,11.17,0,0.0,0.0
340,0.08944,11.18,0,0.0,0.0
341,0.09526,10.5,1,0.3,0.3
342,0.08938,11.19,0,0.0,0.0
343,0.09085,11.01,0,0.0,0.0
344,0.09347,10.7,1,0.33,0.33
345,0.09489,10.54,0,0.0,0.0
346,0.09701,10.31,0,0.0,0.0
347,0.09444,10.59,0,0.0,0.0
348,0.09277,10.78,0,0.0,0.0
349,0.09421,10.61,0,0.0,0.0
350,0.09189,10.88,0,0.0,0.0
351,0.09018,11.09,0,0.0,0.0
352,0.09043,11.06,0,0.0,0.0
353,0.09064,11.03,0,0.0,0.0
354,0.09262,10.8,0,0.0,0.0
355,0.09094,11.0,0,0.0,0.0
356,0.10094,9.91,0,0.0,0.0
357,0.09024,11.08,0,0.0,0.0
358,0.08928,11.2,0,0.0,0.0
359,0.09185,10.89,0,0.0,0.0
360,0.09318,10.73,0,0.0,0.0
361,0.09422,10.61,0,0.0,0.0
362,0.0942,10.62,0,0.0,0.0
363,0.0889,11.25,0,0.0,0.0
364,0.08897,11.24,0,0.0,0.0
365,0.10802,9.26,0,0.0,0.0
366,0.08944,11.18,0,0.0,0.0
367,0.09152,10.93,0,0.0,0.0
368,0.0986,10.14,0,0.0,0.0
369,0.09212,10.86,0,0.0,0.0
370,0.0928,10.78,0,0.0,0.0
371,0.09321,10.73,0,0.0,0.0
372,0.09414,10.62,0,0.0,0.0
373,0.09095,11.0,0,0.0,0.0
374,0.09302,10.75,0,0.0,0.0
375,0.0911,10.98,0,0.0,0.0
376,0.09068,11.03,0,0.0,0.0
377,0.09359,10.69,0,0.0,0.0
378,0.09352,10.69,0,0.0,0.0
379,0.09108,10.98,0,0.0,0.0
380,0.09221,10.84,0,0.0,0.0
381,0.08821,11.34,0,0.0,0.0
382,0.0929,10.76,0,0.0,0.0
383,0.08841,11.31,0,0.0,0.0
384,0.0894,11.19,0,0.0,0.0
385,0.09495,10.53,0,0.0,0.0
386,0.08996,11.12,0,0.0,0.0
387,0.09074,11.02,0,0.0,0.0
388,0.09084,11.01,0,0.0,0.0
389,0.09001,11.11,0,0.0,0.0
390,0.0967,10.34,0,0.0,0.0
391,0.09227,10.84,0,0.0,0.0
392,0.09256,10.8,0,0.0,0.0
393,0.09206,10.86,0,0.0,0.0
394,0.09133,10.95,0,0.0,0.0
395,0.08981,11.13,0,0.0,0.0
396,0.09097,10.99,0,0.0,0.0
397,0.08939,11.19,0,0.0,0.0
398,0.09412,10.63,0,0.0,0.0
399,0.09187,10.89,0,0.0,0.0
400,0.08828,11.33,0,0.0,0.0
401,0.09217,10.85,0,0.0,0.0
402,0.08931,11.2,0,0.0,0.0
403,0.0916,10.92,0,0.0,0.0
404,0.08908,11.23,0,0.0,0.0
405,0.0967,10.34,0,0.0,0.0
406,0.08921,11.21,0,0.0,0.0
407,0.095,10.53,0,0.0,0.0
408,0.09212,10.86,0,0.0,0.0
409,0.0948,10.55,0,0.0,0.0
410,0.09403,10.64,0,0.0,0.0
411,0.09206,10.86,0,0.0,0.0
412,0.08948,11.18,0,0.0,0.0
413,0.09307,10.74,0,0.0,0.0
414,0.08964,11.16,0,0.0,0.0
415,0.09268,10.79,0,0.0,0.0
416,0.08931,11.2,0,0.0,0.0
417,0.08917,11.21,0,0.0,0.0
418,0.09433,10.6,0,0.0,0.0
419,0.08922,11.21,0,0.0,0.0
420,0.08903,11.23,0,0.0,0.0
421,0.09063,11.03,0,0.0,0.0
422,0.10431,9.59,0,0.0,0.0
423,0.08905,11.23,0,0.0,0.0
424,0.09191,10.88,0,0.0,0.0
425,0.09175,10.9,0,0.0,0.0
426,0.09384,10.66,0,0.0,0.0
427,0.09451,10.58,0,0.0,0.0
428,0.09176,10.9,0,0.0,0.0
429,0.09074,11.02,0,0.0,0.0
430,0.09436,10.6,0,0.0,0.0
431,0.09512,10.51,0,0.0,0.0
432,0.09142,10.94,0,0.0,0.0
433,0.08991,11.12,0,0.0,0.0
434,0.08972,11.15,0,0.0,0.0
435,0.09234,10.83,0,0.0,0.0
436,0.09185,10.89,0,0.0,0.0
437,0.09079,11.01,0,0.0,0.0
438,0.08964,11.16,0,0.0,0.0
439,0.09453,10.58,0,0.0,0.0
440,0.09019,11.09,0,0.0,0.0
441,0.09348,10.7,0,0.0,0.0
442,0.09599,10.42,0,0.0,0.0
443,0.08961,11.16,0,0.0,0.0
444,0.09271,10.79,0,0.0,0.0
445,0.09456,10.57,0,0.0,0.0
446,0.09591,10.43,0,0.0,0.0
447,0.08885,11.25,0,0.0,0.0
448,0.09554,10.47,0,0.0,0.0
449,0.092,10.87,0,0.0,0.0
450,0.09638,10.38,0,0.0,0.0
451,0.09402,10.64,0,0.0,0.0
452,0.08923,11.21,0,0.0,0.0
453,0.09184,10.89,0,0.0,0.0
454,0.09487,10.54,0,0.0,0.0
455,0.09524,10.5,0,0.0,0.0
456,0.09601,10.42,0,0.0,0.0
457,0.09001,11.11,0,0.0,0.0
458,0.09291,10.76,0,0.0,0.0
459,0.09068,11.03,0,0.0,0.0
460,0.08967,11.15,0,0.0,0.0
461,0.08987,11.13,0,0.0,0.0
462,0.09,11.11,0,0.0,0.0
463,0.09202,10.87,0,0.0,0.0
464,0.08873,11.27,0,0.0,0.0
465,0.0921,10.86,0,0.0,0.0
466,0.09053,11.05,0,0.0,0.0
467,0.09093,11.0,0,0.0,0.0
468,0.09019,11.09,0,0.0,0.0
469,0.09071,11.02,0,0.0,0.0
470,0.0928,10.78,0,0.0,0.0
471,0.09247,10.81,0,0.0,0.0
472,0.08924,11.21,0,0.0,0.0
473,0.08959,11.16,0,0.0,0.0
474,0.09516,10.51,0,0.0,0.0
475,0.09361,10.68,0,0.0,0.0
476,0.09336,10.71,0,0.0,0.0
477,0.09782,10.22,0,0.0,0.0
478,0.09222,10.84,0,0.0,0.0
479,0.09003,11.11,0,0.0,0.0
480,0.09021,11.08,0,0.0,0.0
481,0.08911,11.22,0,0.0,0.0
482,0.09862,10.14,0,0.0,0.0
483,0.09423,10.61,0,0.0,0.0
484,0.09052,11.05,0,0.0,0.0
485,0.09224,10.84,0,0.0,0.0
486,0.09736,10.27,0,0.0,0.0
487,0.09007,11.1,0,0.0,0.0
488,0.09907,10.09,0,0.0,0.0
489,0.09223,10.84,0,0.0,0.0
490,0.09222,10.84,0,0.0,0.0
491,0.09669,10.34,0,0.0,0.0
492,0.09418,10.62,0,0.0,0.0
493,0.09362,10.68,0,0.0,0.0
494,0.09271,10.79,0,0.0,0.0
495,0.09347,10.7,0,0.0,0.0
496,0.09343,10.7,0,0.0,0.0
497,0.09007,11.1,0,0.0,0.0
498,0.09795,10.21,0,0.0,0.0
499,0.09073,11.02,0,0.0,0.0
500,0.09495,10.53,0,0.0,0.0
501,0.09585,10.43,0,0.0,0.0
502,0.09373,10.67,0,0.0,0.0
503,0.09512,10.51,0,0.0,0.0
504,0.09158,10.92,0,0.0,0.0
505,0.08951,11.17,0,0.0,0.0
506,0.09846,10.16,0,0.0,0.0
507,0.08986,11.13,0,0.0,0.0
508,0.09821,10.18,0,0.0,0.0
509,0.0895,11.17,0,0.0,0.0
510,0.09028,11.08,0,0.0,0.0
511,0.08995,11.12,0,0.0,0.0
512,0.08939,11.19,0,0.0,0.0
513,0.09118,10.97,0,0.0,0.0
514,0.09927,10.07,0,0.0,0.0
515,0.09341,10.71,0,0.0,0.0
516,0.09668,10.34,0,0.0,0.0
517,0.09564,10.46,0,0.0,0.0
518,0.09136,10.95,0,0.0,0.0
519,0.08998,11.11,0,0.0,0.0
520,0.09497,10.53,0,0.0,0.0
521,0.09451,10.58,0,0.0,0.0
522,0.09187,10.89,0,0.0,0.0
523,0.08998,11.11,0,0.0,0.0
524,0.09506,10.52,0,0.0,0.0
525,0.10145,9.86,0,0.0,0.0
526,0.09302,10.75,0,0.0,0.0
527,0.09407,10.63,0,0.0,0.0
528,0.10329,9.68,0,0.0,0.0
529,0.09205,10.86,0,0.0,0.0
530,0.09585,10.43,0,0.0,0.0
531,0.09255,10.8,0,0.0,0.0
532,0.09543,10.48,0,0.0,0.0
533,0.09198,10.87,0,0.0,0.0
534,0.09147,10.93,0,0.0,0.0
535,0.09422,10.61,0,0.0,0.0
536,0.09875,10.13,0,0.0,0.0
537,0.09273,10.78,0,0.0,0.0
538,0.0919,10.88,0,0.0,0.0
539,0.08884,11.26,0,0.0,0.0
