Frame_Number,Inference_Time_sec,FPS,Total_Birds,Max_Confidence,Avg_Confidence
216,0.14386,6.95,11,0.99,0.95
217,0.13964,7.16,11,0.99,0.94
218,0.1383,7.23,9,0.98,0.97
219,0.1384,7.23,14,0.99,0.85
220,0.13905,7.19,14,0.98,0.78
221,0.1389,7.2,16,0.98,0.77
222,0.14044,7.12,17,0.99,0.82
223,0.13633,7.34,16,0.99,0.84
224,0.13942,7.17,16,0.99,0.86
225,0.14549,6.87,15,0.98,0.83
226,0.14175,7.05,14,0.99,0.83
227,0.13746,7.27,17,0.98,0.81
228,0.13982,7.15,16,0.97,0.77
229,0.13862,7.21,19,0.98,0.73
230,0.13963,7.16,16,0.99,0.8
231,0.14942,6.69,14,0.98,0.85
232,0.13896,7.2,15,0.99,0.79
233,0.1431,6.99,11,0.98,0.93
234,0.13943,7.17,10,0.97,0.91
235,0.1377,7.26,12,0.96,0.84
236,0.1379,7.25,14,0.97,0.77
237,0.14857,6.73,14,0.96,0.76
238,0.14248,7.02,14,0.97,0.78
239,0.14302,6.99,11,0.97,0.92
240,0.13889,7.2,16,0.98,0.72
241,0.14177,7.05,13,0.99,0.83
242,0.13791,7.25,14,0.98,0.78
243,0.13964,7.16,14,0.98,0.82
244,0.13753,7.27,17,0.96,0.7
245,0.13751,7.27,16,0.94,0.66
246,0.13684,7.31,9,0.98,0.87
247,0.13784,7.25,14,0.98,0.78
248,0.1391,7.19,15,0.96,0.81
249,0.13863,7.21,11,0.94,0.76
250,0.13825,7.23,15,0.98,0.79
251,0.13941,7.17,12,0.98,0.74
252,0.14179,7.05,10,0.96,0.68
253,0.13879,7.21,9,0.97,0.7
254,0.13689,7.3,9,0.98,0.81
255,0.13798,7.25,9,0.99,0.85
256,0.1428,7.0,12,0.98,0.77
257,0.1455,6.87,7,0.95,0.8
258,0.13697,7.3,12,0.91,0.68
259,0.13857,7.22,8,0.97,0.84
260,0.13717,7.29,5,0.95,0.81
261,0.1378,7.26,8,0.95,0.72
262,0.13927,7.18,9,0.98,0.8
263,0.13867,7.21,6,0.96,0.84
264,0.13899,7.19,8,0.94,0.79
265,0.13969,7.16,10,0.97,0.7
266,0.13724,7.29,9,0.89,0.66
267,0.13971,7.16,7,0.96,0.78
268,0.13687,7.31,13,0.95,0.63
269,0.13764,7.27,16,0.9,0.65
270,0.13915,7.19,13,0.98,0.73
271,0.1462,6.84,10,0.98,0.79
272,0.14538,6.88,11,0.93,0.72
273,0.14121,7.08,13,0.95,0.78
274,0.13746,7.27,13,0.96,0.75
275,0.13776,7.26,8,0.78,0.55
276,0.14402,6.94,8,0.91,0.55
277,0.13996,7.15,8,0.97,0.83
278,0.14113,7.09,11,0.95,0.77
279,0.13949,7.17,9,0.95,0.7
280,0.13958,7.16,4,0.95,0.9
281,0.14052,7.12,9,0.95,0.7
282,0.13788,7.25,7,0.85,0.54
283,0.13893,7.2,7,0.81,0.58
284,0.1396,7.16,6,0.84,0.59
285,0.13827,7.23,8,0.9,0.56
286,0.1453,6.88,8,0.82,0.65
287,0.14436,6.93,9,0.86,0.67
288,0.13853,7.22,5,0.84,0.73
289,0.13761,7.27,3,0.55,0.47
290,0.13796,7.25,5,0.66,0.54
291,0.13742,7.28,1,0.52,0.52
292,0.13766,7.26,1,0.41,0.41
293,0.14006,7.14,7,0.87,0.74
294,0.14078,7.1,3,0.53,0.42
